norm, gamma, chi2
0.0, 1.6, 6.431278686802505
0.21052631578947367, 1.6, 6.426827944038636
0.42105263157894735, 1.6, 6.4223802100900445
0.631578947368421, 1.6, 6.417935484375154
0.8421052631578947, 1.6, 6.413493766317626
1.0526315789473684, 1.6, 6.409055055339682
1.263157894736842, 1.6, 6.40461935086132
1.4736842105263157, 1.6, 6.400186652307336
1.6842105263157894, 1.6, 6.395756959100491
1.894736842105263, 1.6, 6.3913302706651764
2.1052631578947367, 1.6, 6.386906586420064
2.3157894736842106, 1.6, 6.382485905794052
2.526315789473684, 1.6, 6.378068228207813
2.7368421052631575, 1.6, 6.373653553087228
2.9473684210526314, 1.6, 6.3692418798566734
3.1578947368421053, 1.6, 6.364833207939182
3.3684210526315788, 1.6, 6.3604275367609135
3.578947368421052, 1.6, 6.356024865748347
3.789473684210526, 1.6, 6.351625194326252
4.0, 1.6, 6.347228521919495
0.0, 1.6517241379310346, 6.431278686802505
0.21052631578947367, 1.6517241379310346, 6.425213969987688
0.42105263157894735, 1.6517241379310346, 6.419154360322573
0.631578947368421, 1.6517241379310346, 6.413099856422453
0.8421052631578947, 1.6517241379310346, 6.4070504569064175
1.0526315789473684, 1.6517241379310346, 6.401006160394644
1.263157894736842, 1.6517241379310346, 6.394966965508018
1.4736842105263157, 1.6517241379310346, 6.388932870866516
1.6842105263157894, 1.6517241379310346, 6.382903875091847
1.894736842105263, 1.6517241379310346, 6.376879976809143
2.1052631578947367, 1.6517241379310346, 6.370861174638879
2.3157894736842106, 1.6517241379310346, 6.364847467210881
2.526315789473684, 1.6517241379310346, 6.358838853148213
2.7368421052631575, 1.6517241379310346, 6.3528353310760775
2.9473684210526314, 1.6517241379310346, 6.346836899625459
3.1578947368421053, 1.6517241379310346, 6.340843557422747
3.3684210526315788, 1.6517241379310346, 6.33485530309624
3.578947368421052, 1.6517241379310346, 6.328872135279934
3.789473684210526, 1.6517241379310346, 6.322894052602037
4.0, 1.6517241379310346, 6.316921053696099
0.0, 1.703448275862069, 6.431278686802505
0.21052631578947367, 1.703448275862069, 6.4229861021577035
0.42105263157894735, 1.703448275862069, 6.41470240846514
0.631578947368421, 1.703448275862069, 6.406427602356273
0.8421052631578947, 1.703448275862069, 6.398161680471606
1.0526315789473684, 1.703448275862069, 6.38990463944972
1.263157894736842, 1.703448275862069, 6.381656475933526
1.4736842105263157, 1.703448275862069, 6.373417186568831
1.6842105263157894, 1.703448275862069, 6.3651867680053
1.894736842105263, 1.703448275862069, 6.356965216897493
2.1052631578947367, 1.703448275862069, 6.348752529897596
2.3157894736842106, 1.703448275862069, 6.340548703664246
2.526315789473684, 1.703448275862069, 6.332353734861112
2.7368421052631575, 1.703448275862069, 6.32416762015105
2.9473684210526314, 1.703448275862069, 6.315990356202358
3.1578947368421053, 1.703448275862069, 6.307821939683474
3.3684210526315788, 1.703448275862069, 6.299662367271266
3.578947368421052, 1.703448275862069, 6.2915116356391145
3.789473684210526, 1.703448275862069, 6.283369741467421
4.0, 1.703448275862069, 6.275236681439028
0.0, 1.7551724137931035, 6.431278686802505
0.21052631578947367, 1.7551724137931035, 6.419902893143983
0.42105263157894735, 1.7551724137931035, 6.4085429043701625
0.631578947368421, 1.7551724137931035, 6.397198712173009
0.8421052631578947, 1.7551724137931035, 6.385870308248551
1.0526315789473684, 1.7551724137931035, 6.374557684308442
